type,id
ip_address,144.172.122.30
ip_address,45.61.147.176
url,https://www.praetorian.com/blog/doubleqlik-bypassing-the-original-fix-for-cve-2023-41265/
url,http://zohoservice.net/anydesk.zip
url,https://www.manageengine.com/unified-endpoint-management-security.html
url,https://the.earth.li/~sgtatham/putty/latest/w64/plink.exe
url,https://diskanalyzer.com/
url,http://216.107.136.46/Qliksens_update.zip
url,http://zohoservice.net/qlik-sens-Patch.zip
url,http://zohoservice.net/qlik-sens-nov.zip
url,https://nvd.nist.gov/vuln/detail/CVE-2023-48365
url,https://nvd.nist.gov/vuln/detail/CVE-2023-41265
url,https://www.chiark.greenend.org.uk/~sgtatham/putty/latest.html
url,http://zohoservice.net/putty.zip
url,https://nvd.nist.gov/vuln/detail/CVE-2023-41266
url,https://www.qlik.com/us/products/qlik-sense
url,http://216.107.136.46/Qliksens_updated.zip
url,https://anydesk.com/
url,https://www.praetorian.com/blog/qlik-sense-technical-exploit/
url,https://download.anydesk.com/AnyDesk.exe
domain,qlik-sens-patch.zip
domain,qlik_sense_enterprise.zip
domain,qliksens_update.zip
domain,qliksens_updated.zip
file,3ac8308a7378dfe047eacd393c861d32df34bb47535972eb0a35631ab964d14d
file,6cb87cad36f56aefcefbe754605c00ac92e640857fd7ca5faab7b9542ef80c96
file,828e81aa16b2851561fff6d3127663ea2d1d68571f06cbd732fdf5672086924d
file,90b009b15eb1b5bc4a990ecdd86375fa25eaa67a8515ae6c6b3b58815d46fa82
