Indicators,Type,Description
C:\Users\%USERNAME%\AppData\Local\Programs\Python\Python311\Scripts\crackmapexec.exe,Executable Path,CrackMapExec
C:\Users\%USERNAME%\AppData\Local\Programs\Python\Python311\Scripts\kerbrute.exe,Executable Path,Kerberoasting
C:\Users\%USERNAME%\Downloads\Anydesk.exe,Executable Path,Anydesk C2
C:\Users\%USERNAME%\Desktop\IamBatMan.exe,Executable Path,Ransomware
C:\Users\backupexec\Desktop\stealer_cli_v2.exe,Executable Path,Info Stealer
C:\Users\%USERNAME%\Downloads\nmap-7.94-setup.exe,Executable Path,Nmap
C:\Program Files (x86)\Nmap\nmap.exe,Executable Path,Nmap
C:\Users\%USERNAME%\Downloads\mimikatz_trunk\x64\mimikatz.exe,Executable Path,Mimikatz
C:\Users\backupexec\Downloads\x64\mimikatz.exe,Executable Path,Mimikatz
bcdb721d5be41a9d61bee20a458ae748e023238f,SHA-1 Hash,EDRKILLSHIFTER Binary
2d3a95e91449a366ccf56177a4542cc439635768,SHA-1 Hash,EDRKILLSHIFTER Binary
77daf77d9d2a08cc22981c004689b870f74544b5,SHA-1 Hash,EDRKILLSHIFTER Binary
6764ddb2e5b18bf5d0c621f3078d7ac72865c1c3,SHA-1 Hash,EDRKILLSHIFTER Binary
86cdb729094c013e411ac9b4c72485a55a629e5d,SHA-1 Hash,EDRKILLSHIFTER Binary
2e89cf3267c8724002c3c89be90874a22812efc6,SHA-1 Hash,EDRKILLSHIFTER Binary
3b035da6c69f9b05868ffe55d7a267d098c6f290,SHA-1 Hash,TDSSKILLER Binary
hxxp://82.147.85[.]52/Loader.exe,URL,IP Address where the Anti-EDR was downloaded
4c0d755f42902559d16b73ccc4511897f7bbce94,SHA-1 Hash,RansomHub Ransomware Binaries
189c638388acd0189fe164cf81e455e41d9629d6,SHA-1 Hash,RansomHub Ransomware Binaries
de1241a592760cc1d850be8f41beebcd460b66ec,SHA-1 Hash,RansomHub Ransomware Binaries
8de2d38d33294586b4758599fdf65f1a265e013b,SHA-1 Hash,RansomHub Ransomware Binaries
5f2c7da181a0ef32df5b9c8a10ea5b3135489021,SHA-1 Hash,RansomHub Ransomware Binaries
e38082ae727aeaef4f241a1920150fdf6f149106,SHA-1 Hash,NetScan Binary
e187d58f59e0444f7ef9ddefec88d2b11b96e734,SHA-1 Hash,Rclone binary
http[:]//188.34.188[.]7/555,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/amba16.ico,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/bcrypt.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/CRYPTSP.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/en,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/en-US,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/NEWOFFICIALPROGRAMCAUSEOFNEWUPDATE.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/NEWOFFICIALPROGRAMCAUSEOFNEWUPDATE.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//188.34.188[.]7/555/NEWOFFICIALPROGRAMCAUSEOFNEWUPDATE.INI,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/1.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/1.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/10.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/12.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/12.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/2.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/2.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/2wrRR6sW6XJtsXyPzuhWhDG7qwN4es.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/2wrRR6sW6XJtsXyPzuhWhDG7qwN4es.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/3.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/3.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/4.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/4.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/5.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/5.exe.Config,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/6.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/7.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/8.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/9.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/92.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/AmbaPDF.ico,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/ambapdf.ico.DLL,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/bcrypt.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/Cabinet.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/CRYPTBASE.DLL,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/cryptnet.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/CRYPTSP.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/cv4TCGxUjvS.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/DPAPI.DLL,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en/d%E5%AD%97%E5%AD%97.resources.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en/d%E5%AD%97%E5%AD%97.resources.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en/d%E5%AD%97%E5%AD%97.resources/d%E5%AD%97%E5%AD%97.resources.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en/d%E5%AD%97%E5%AD%97.resources/d%E5%AD%97%E5%AD%97.resources.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en-US,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en-US/d%E5%AD%97%E5%AD%97.resources.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en-US/d%E5%AD%97%E5%AD%97.resources.exe,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
http[:]//89.23.96[.]203/333/en-US/d%E5%AD%97%E5%AD%97.resources/d%E5%AD%97%E5%AD%97.resources.dll,URL,Known URLs and Emails Related to Malicious Activity (2023-2024)
